title,description,link,provider,ranking,provider_category,time_required,subtitles,skill,rating,category,subcategory,level,subscribers
Qualitative Data Analysis with MAXQDA Software,"This course will introduce you to MAXQDA software for easier data analysis during the qualitative research process. You'll explore how to do memos, variables, segmentation, coding, and data reduction techniques all in this course!",https://www.coursera.org/learn/qualitative-data-analysis-with-maxqda-software,Emory University,158,Other university,Approx. 18 hours to complete,Subtitles: English,,,Health,Health Informatics,Intermediate Level,2040
Qualitative Data Collection Methods,"This course presents a detailed overview of qualitative methods of data collection, including observation, interviews, and focus group discussions. We will start with an in-depth overview of each method, explore how to plan for data collection, including developing data collection guides, and discuss techniques for managing data collection. For observation, we‚Äôll focus on approaches with low levels of interaction with people and the environment (e.g. non-participant observation). We‚Äôll talk about note-taking strategies, the use of observation guides, and approaches to writing up fieldnotes. For interviews, we‚Äôll discuss development of effective question guides and demonstrate interviewing techniques. For focus group discussions, we‚Äôll highlight moderation strategies and how to integrate activities into question guides to promote interaction in the group setting. Finally, we‚Äôll briefly discuss the transcription process for recorded interviews and focus group discussions. Learners of this course will not only be able to put what they learn into practice, but they'll also develop a portfolio of qualitative research materials for career advancement.",https://www.coursera.org/learn/qualitative-data-collection-methods,Emory University,158,Other university,Approx. 14 hours to complete,Subtitles: English,,4.7stars,Health,Health Informatics,Beginner Level,2438
Qualitative Research Design,"This course introduces qualitative research, compares and contrasts qualitative and quantitative research approaches, and provides an overview of qualitative methods for data collection. It outlines a step-by-step approach to qualitative research design that begins by identifying a public health topic of interest, works to hone in on a specific research problem, and then specifies research questions, objectives, and specific aims. The course emphasizes the iterative nature of research design in qualitative inquiry and highlights the importance of specifying a population of interest, an appropriate sampling strategy, and potential approaches to recruitment. It introduces the relationship between these considerations and key concepts such as saturation and transferability in qualitative research. Finally, the course considers ethical concerns specific to qualitative research and potential solutions. Learners of this course will not only be able to put what they learn into practice, but they'll also develop a portfolio of qualitative research materials for career advancement.",https://www.coursera.org/learn/qualitative-research-design,Emory University,158,Other university,Approx. 21 hours to complete,Subtitles: English,,,Health,Health Informatics,Beginner Level,4926
Reproducible Templates for Analysis and Dissemination,"This course will assist you with recreating work that a previous coworker completed, revisiting a project you abandoned some time ago, or simply reproducing a document with a consistent format and workflow. Incomplete information about how the work was done, where the files are, and which is the most recent version can give rise to many complications. This course  focuses on the proper documentation creation process, allowing you and your colleagues to easily reproduce the components of your workflow. Throughout this course, you'll receive helpful demonstrations of RStudio and the R Markdown language and engage in active learning opportunities to help you build a professional online portfolio.",https://www.coursera.org/learn/reproducible-templates-analysis,Emory University,158,Other university,Approx. 20 hours to complete,Subtitles: English,,4.5stars,Data Science,Data Analysis,Beginner Level,1792
So You Think You Know Tango?,"How well do you think you know tango? This two-week mini-course is designed for music lovers, musicians, and dancers who are interested in learning more about the Argentine Tango. It will explore the many dimensions of the Argentine Tango music, including its origins, popularization during the Golden Age, dissemination abroad, evolution into an artistic music-dance form, and adoption by Argentine and international art-music composers to date. The goal is to provide learners with an authentic and holistic tango experience by intersecting scholarly studies of the history, theory, and culture of tango with knowledge of instrumental performance practices. Learners can also learn more about basic tango gestures and steps that embody the music, as well as the poetry of tango.",https://www.coursera.org/learn/tango,Emory University,158,Other university,Approx. 6 hours to complete,"Subtitles: English, Spanish",,4.5stars,Arts and Humanities,Music and Art,Beginner Level,2915
Survey analysis to Gain Marketing Insights,"How do consumers see your brand relative to your competitors? How should a new product be positioned when it‚Äôs launched? Which customer segments are most interested in our current offerings? For these questions and many others, surveys remain the tried and true method for gaining marketing insights. From one-off customer satisfaction surveys to brand tracking surveys that are administered on a continuous basis, they provide the information that marketers need to understand how their products, services and brands are seen by consumers. In Analytic Methods for Survey Data, learners will become familiar with established statistical methods for converting survey responses to insights that can support marketing decisions. Techniques discussed include factor analytics, cluster analysis, discriminant analysis and multi-dimensional scaling. These techniques are presented within the STP (Segmentation, Positioning, Targeting) Framework, enabling learners to apply the analytic techniques to develop a marketing strategy. It is recommended that you complete the Meaningful Marketing Insights course offered by Coursera before taking this course.",https://www.coursera.org/learn/survey-analysis-marketing-insights,Emory University,158,Other university,Approx. 5 hours to complete,Subtitles: English,,4.5stars,Business,Marketing,,10219
The Addicted Brain,"This is a course about addiction to drugs and other behaviors. It will describe what happens in the brain and how this information helps us deal with and overcome addiction. It will also discuss other topics, such as government policy and our vulnerability to take drugs.",https://www.coursera.org/learn/addiction-and-the-brain,Emory University,158,Other university,Approx. 21 hours to complete,"Subtitles: French, Portuguese (Brazilian), Chinese (Simplified), Greek, Italian, Russian, English, Spanish","['Prevention Programs', 'Addiction Treatment', 'Brain', 'Drug And Alcohol Abuse Treatment']",,Health,Basic Science,Beginner Level,161810
"The Bible's Prehistory, Purpose, and Political Future","With its walls razed to ground by Babylon‚Äôs armies, Jerusalem joined a long line of ancient vanquished cities‚Äîfrom Ur and Nineveh and Persepolis to Babylon itself. While some recovered from the destruction, others did not.  But none responded to political catastrophe by fashioning the kind of elaborate and enduring monument to their own downfall that we find in the Bible. Most conquered populations viewed their subjugation as a source of shame. They consigned it to oblivion, opting instead to extol the golden ages of the past.  The biblical authors in contrast reacted to loss by composing extensive writings that acknowledge collective failure, reflect deeply upon its causes, and discover thereby a ground for collective hope.",https://www.coursera.org/learn/bible-history,Emory University,158,Other university,Approx. 19 hours to complete,"Subtitles: Chinese (Traditional), French, Portuguese (Brazilian), Russian, English, Spanish, Romanian",,4.7stars,Arts and Humanities,History,,23572
The Psychology of Thrill Seekers,"Sensation seeking is a trait we all have and includes the search for complex and new experiences. Thrill Seekers, people with high-sensation seeking personalities, crave exotic and intense experiences even when physical or social risks are involved. This course helps learners examine the remarkable world of the high-sensation seeking personality and explores the lifestyle, psychology, and neuroscience behind thrill seekers.",https://www.coursera.org/learn/psychology-of-thrill-seekers,Emory University,158,Other university,Approx. 15 hours to complete,Subtitles: English,,4.6stars,Health,Psychology,Beginner Level,6952
Understanding Violence,We are so pleased to have you join us as we investigate this crucial topic.,https://www.coursera.org/learn/violence,Emory University,158,Other university,Approx. 15 hours to complete,"Subtitles: English, Greek, Arabic",,4.6stars,Social Sciences,Governance and Society,Beginner Level,27149
Weight Management: Beyond Balancing Calories,"Across the globe, more people are suffering from obesity than at any other time in our history. Why has obesity become so common and so challenging? In this course, we will look at the root cause of obesity, as explained by the latest science. We will see how our food environment has evolved over the last half-century, and how it is altering our biology to over-consume calories and resist sustained weight loss. We will also see how stress, a sedentary lifestyle, and inadequate sleep disrupt our appetite control system to promote gaining weight. By developing a better understanding of the physiology behind obesity, you will learn how to work with your body to prevent and manage weight gain. This course will also provide practical tools and strategies for creating a long-term, sustainable weight management plan to leverage your habits and your surroundings.",https://www.coursera.org/learn/weight-management-beyond-balancing-calories,Emory University,158,Other university,Approx. 18 hours to complete,"Subtitles: French, Portuguese (Brazilian), Vietnamese, Russian, English, Spanish",,4.7stars,Health,Nutrition,Beginner Level,102897
A Business Approach to Sustainable Landscape Restoration,Integrated landscape management and large-scale landscape restoration should be in every company‚Äôs business strategy because in order to reach the Sustainable Development Goal on Land Degradation Neutrality (SDG Number 15.3) scaling up and acceleration of business-driven landscape restoration is urgently needed.,https://www.coursera.org/learn/landscape-restoration-sustainable-development,Erasmus University Rotterdam,197,Other university,Approx. 24 hours to complete,Subtitles: English,,,Business,Business Essentials,Beginner Level,7280
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Hi and welcome to this course!,https://www.coursera.org/learn/advanced-valuation-and-strategy,Erasmus University Rotterdam,197,Other university,Approx. 16 hours to complete,"Subtitles: English, Spanish",,4.7stars,Business,Finance,Advanced Level,72178
Assessment in Higher Education: Professional Development for Teachers,"Are you a teacher in higher education wanting to get the best out of your students and assessments? Then on behalf of Risbo, Erasmus University Rotterdam, we would like to welcome you to this MOOC on Assessment in Higher Education. In this MOOC we will guide you through the different phases of preparing, creating and evaluating the assessments in your course.",https://www.coursera.org/learn/assessment-higher-education,Erasmus University Rotterdam,197,Other university,Approx. 18 hours to complete,Subtitles: English,,4.8stars,Social Sciences,Education,Intermediate Level,11609
Business Model Innovation for Sustainable Landscape Restoration,"Land degradation is a widespread problem across the globe with serious consequences for the environment and all of society. Worsening land degradation caused by human activities is undermining the well-being of two-fifths of humanity, driving species extinctions and intensifying climate change. But there‚Äôs a huge potential for restoring landscapes: around two billion hectares of land, about two times the size of China, can be restored.",https://www.coursera.org/learn/bmi-sustainable-landscape-restoration,Erasmus University Rotterdam,197,Other university,Approx. 26 hours to complete,Subtitles: English,,4.4stars,Business,Business Strategy,Beginner Level,3724
Cross-border road transport in EU law context,"Have you ever wondered which legal rules are applicable to cross-border EU road transport? Are you interested in the issues revolving around EU employment law in the international road transport sector? Then, on behalf of the University of Antwerp, Erasmus University Rotterdam, University of Gda≈Ñsk, University of Luxembourg and Tilburg University, we would like to welcome you to this MOOC on Cross-border Road Transport in EU law context. This MOOC is a part of the Erasmus + Project funded by the European Commission. In this MOOC, you will not only learn what the current legal framework is, but also, how it is applied in the road transport sector.",https://www.coursera.org/learn/transport-eu-law,Erasmus University Rotterdam,197,Other university,Approx. 27 hours to complete,Subtitles: English,,,Social Sciences,Law,Advanced Level,2491
Cybersecurity in Healthcare (Hospitals & Care Centres),The Cybersecurity in Healthcare MOOC was developed as part the SecureHospitals.eu project. This project has received funding from the European Union‚Äôs Horizon 2020 Coordination Research and Innovation Action under Grant Agreement No. 826497.,https://www.coursera.org/learn/cybersecurity-in-healthcare,Erasmus University Rotterdam,197,Other university,Approx. 14 hours to complete,Subtitles: English,"['Cybersecurity', 'Cybersecurity in hospitals', 'Information Security (INFOSEC)', 'Cybersecurity in care centres']",,Information Technology,Security,Beginner Level,4377
Driving business towards the Sustainable Development Goals,"Extreme weather events, wars, famine and environmental destruction are just a few of the wicked problems faced by humanity.",https://www.coursera.org/learn/sdgbusiness,Erasmus University Rotterdam,197,Other university,Approx. 15 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,4.8stars,Business,Business Essentials,Beginner Level,18894
Earth Economics,"After this course you will be an Earth Economist that can provide evidence-based advise on the best global policy. As an Earth Economist you will better understand the behavior and advice of economists, have become a better economist yourself and know where to find Earth's data and how to analyze these world observations. Our planet is too important: we need you to get engaged!",https://www.coursera.org/learn/earth-economics,Erasmus University Rotterdam,197,Other university,Approx. 21 hours to complete,Subtitles: English,"['Earth Economics', 'Policy Development', 'Data Analysis', 'Policy Analysis', 'You will develop a good understanding about why we need Earth Economics in addition to traditional macroeconomics (nation-level) and microeconomics (individual and firm level']",4.6stars,Social Sciences,Economics,Beginner Level,5504
Econometrics: Methods and Applications,Welcome!,https://www.coursera.org/learn/erasmus-econometrics,Erasmus University Rotterdam,197,Other university,Approx. 66 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish","['Linear Regression', 'Time Series', 'Econometrics', 'Regression Analysis']",4.6stars,Data Science,Probability and Statistics,,146107
Enjoyable Econometrics,"The goal of this MOOC is to show that econometric methods are often needed to answer questions. A question comes first, then data are to be collected, and then finally the model or method comes in. Depending on the data, however, it can happen that methods need to be adapted. For example, where we first look at two variables, later we may need to look at three or more. Or, when data are missing, what then do we do? And, if the data are counts, like the number of newspaper articles citing someone, then matters may change too. But these modifications always come last, and are considered only when relevant.",https://www.coursera.org/learn/enjoyable-econometrics,Erasmus University Rotterdam,197,Other university,Approx. 2 hours to complete,Subtitles: English,,4.1stars,Data Science,Probability and Statistics,Beginner Level,12800
Innovation Management,"What is innovation management? How do firms bring in new business models and get new products and services to the market? Go on a nine-week journey through innovation management concepts, theories of idea generation, selection, strategy formulation and implementation in this MOOC in Innovation Management. In it, you will also learn the tools for implementing innovation projects yourself.",https://www.coursera.org/learn/innovation-management,Erasmus University Rotterdam,197,Other university,Approx. 10 hours to complete,"Subtitles: English, Vietnamese","['Social Network', 'Management', 'Innovation', 'Innovation Management']",4.7stars,Business,Business Strategy,Beginner Level,70203
International Security Management,"In this MOOC you will learn about the colorful and diverse international security landscape, and gain insights into challenging topics including Open Source Intelligence, serious organised crime and illicit trade. You will also meet stakeholders from different sectors and backgrounds. We recorded our videos at different locations in Europe to also give you an insight into the original environment of our contributing experts. You will realize that the style and focus of the various presentations will differ from one week to the other. We feel that this is a big asset! And yes, we also have men in suits and uniforms...",https://www.coursera.org/learn/international-security-management,Erasmus University Rotterdam,197,Other university,Approx. 9 hours to complete,Subtitles: English,,4.7stars,Social Sciences,Governance and Society,Beginner Level,13567
Introduction to Economic Theories,Wondering why economists have not predicted serious financial crises? Shocked by economic assumptions of human behavior as self-centered and focusing only on what can be measured? Asking yourself if there are no sensible economic alternatives to free markets? Then you are at the right place to learn economics!,https://www.coursera.org/learn/intro-economic-theories,Erasmus University Rotterdam,197,Other university,Approx. 41 hours to complete,Subtitles: English,,,Social Sciences,Economics,Beginner Level,47936
Local Economic Development,"Welcome to this MOOC on Local Economic Development (LED). Local economic development refers to the processes by which local governments, businesses, and civil society groups get together to raise income sustainably and improve their lives in a well-defined area. It‚Äôs about creating jobs, securing livelihoods, improving infrastructure and managing local resources.",https://www.coursera.org/learn/local-economic-development,Erasmus University Rotterdam,197,Other university,Approx. 27 hours to complete,"Subtitles: English, Turkish",,4.8stars,Social Sciences,Economics,Beginner Level,12616
Mind of the Universe: Science in Progress,"From William Harvey discovering the circulation of blood to Albert Einstein developing the theory of relativity: almost all scientific research starts from something odd and unexpected that hasn't been explained yet, and, subsequently, the scientist creatively imagining possible explanations for it, formulating hypotheses.",https://www.coursera.org/learn/mind-of-the-universe-science-in-progress,Erasmus University Rotterdam,197,Other university,Approx. 5 hours to complete,Subtitles: English,,4.6stars,Arts and Humanities,Philosophy,Beginner Level,4014
Principles of Sustainable Finance,Finance is widely seen as an obstacle to a better world. Principles of Sustainable Finance explains how the financial sector can be mobilized to counter this. Using finance as a means to achieve social goals we can divert the planet and its economy from its current path to a world that is sustainable for all.,https://www.coursera.org/learn/sustainable-finance,Erasmus University Rotterdam,197,Other university,Approx. 16 hours to complete,Subtitles: English,,4.7stars,Business,Finance,Intermediate Level,22214
Qualitative Comparative Analysis (QCA),Welcome to this massive open online course (MOOC) about Qualitative Comparative Analysis (QCA). Please read the points below before you start the course. This will help you prepare well for the course and attend it properly. It will also help you determine if the course offers the knowledge and skills you are looking for.,https://www.coursera.org/learn/qualitative-comparative-analysis,Erasmus University Rotterdam,197,Other university,Approx. 27 hours to complete,Subtitles: English,,,Social Sciences,Governance and Society,Beginner Level,6554
Regulated Competition in Healthcare Systems: Theory & Practice,"In this MOOC you will learn about the theory and practice of 'regulated competition' (also known as 'managed competition') in healthcare systems. Many countries have implemented or consider implementation of regulated competition in healthcare. Examples include Australia, Belgium, Chile, Colombia, Germany, Ireland, Israel, The Netherlands, Switzerland and the United States. After completing this MOOC, you will be able to explain how regulated competition (in theory) promotes affordability, accessibility and efficiency of healthcare. Moreover, you will be able to explain why (in practice) successful implementation of regulated competition is very complex and often requires difficult trade-offs between policy objectives. We think this MOOC is highly valuable to any student, researcher or professional interested in healthcare system reform and design. Specific topics in this MOOC include a typology of healthcare systems, the economics of healthcare markets, theory and preconditions of regulated competition, risk adjustment and risk selection in health insurance, competition policy and provider payment.",https://www.coursera.org/learn/regulated-competition-healthcare-systems,Erasmus University Rotterdam,197,Other university,Approx. 39 hours to complete,Subtitles: English,,4.7stars,Health,Healthcare Management,Intermediate Level,1587
Serious Gaming,"Have you ever wondered how playing games can help us to train people, deal with societal challenges or raise awareness of contemporary social issues?",https://www.coursera.org/learn/serious-gaming,Erasmus University Rotterdam,197,Other university,Approx. 10 hours to complete,"Subtitles: English, French",,,Social Sciences,Education,,18904
Studying Cities: Social Science Methods for Urban Research,Welcome!,https://www.coursera.org/learn/studying-cities-social-science-methods-for-urban-research,Erasmus University Rotterdam,197,Other university,Approx. 7 hours to complete,"Subtitles: English, Chinese (Simplified)",,4.7stars,Social Sciences,Education,,9756
The Politics of Skepticism,"This is a course about the history of Skepticism from the ancient Greeks to today, with special attention to the political ramifications of questioning man's ability to know the world and himself with any certainty. We will discuss the debates raging between Plato and the Sophists, the rise of Christianity in the Roman world, and the so-called 'Skeptical Crisis' of the Renaissance as well as Pierre Bayle's Skepticism and David Hume's. In addition the Natural Law tradition will be explored and the relationship between Skepticism and Conservatism.",https://www.coursera.org/learn/erasmus-philosophy-skepticism,Erasmus University Rotterdam,197,Other university,Approx. 12 hours to complete,Subtitles: English,,,Arts and Humanities,Philosophy,Intermediate Level,7304
When Disaster Meets Conflict,Disaster Risk Reduction and humanitarian aid in conflict settings,https://www.coursera.org/learn/whendisastermeetsconflict,Erasmus University Rotterdam,197,Other university,Approx. 8 hours to complete,Subtitles: English,,,Arts and Humanities,Philosophy,Intermediate Level,3209
Doing Business in Europe,Welcome to the MOOC ‚ÄúDoing Business in Europe‚Äù!,https://www.coursera.org/learn/doing-business-in-europe,ESCP Business School,70,Other university,Approx. 6 hours to complete,"Subtitles: English, French, Spanish","['Strategic Management', 'Negotiation', 'Business Strategy', 'Market (Economics)']",4.4stars,Business,Business Strategy,Beginner Level,5007
Intercultural Management,"This MOOC explores different aspects of intercultural management, including teams, leadership, Human Resource Management, marketing and negotiations. When you complete this MOOC, you will have a richer understanding of the concept of culture, and how culture influences the way that individuals behave.",https://www.coursera.org/learn/intercultural,ESCP Business School,70,Other university,Approx. 15 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish","['Negotiation', 'Intercultural Competence', 'Cross-Cultural Communication', 'Intercultural Communication']",4.6stars,Business,Leadership and Management,Beginner Level,14454
Capstone:  Create Value from Open Data,The Capstone project is an individual assignment.,https://www.coursera.org/learn/strategic-business-analytics-capstone,ESSEC Business School,33,Other university,Approx. 10 hours to complete,Subtitles: English,,4.0stars,Business,Business Strategy,,3248
Case studies in business analytics with ACCENTURE,Who is this course for ?,https://www.coursera.org/learn/case-studies-business-analytics-accenture,ESSEC Business School,33,Other university,Approx. 8 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,3.7stars,Data Science,Data Analysis,,23658
Demand management: Breaking down today‚Äôs commercial silos,"The biggest challenge facing the hospitality industry over the next 5 years is the lack of integration between the key commercial disciplines of sales, revenue, distribution and finance and the negative impact this will continue to have on delivering asset value and maximum profitability.",https://www.coursera.org/learn/demandmanagement,ESSEC Business School,33,Other university,Approx. 14 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish","['Revenue Management', 'Forecasting', 'Demand Management', 'Asset Management']",4.8stars,Business,Business Strategy,,9605
Diversity and inclusion in the workplace,"Diversity is a fact. It is also paradoxical. We need to be capable of seeing and hearing differences in order to reap the benefits of diversity. But seeing and hearing differences hone our discriminating reflexes and can also lead to discrimination. If you take this MOOC, you will: 1. understand this paradox, 2. understand its dynamics, and 3. identify ways to manage it, so that you can better channel the diversity potential in the workplace for greater performance and innovation.",https://www.coursera.org/learn/diversity-inclusion-workplace,ESSEC Business School,33,Other university,Approx. 8 hours to complete,Subtitles: English,,4.7stars,Business,Leadership and Management,Beginner Level,34280
Foundations of marketing analytics,Who is this course for?,https://www.coursera.org/learn/foundations-marketing-analytics,ESSEC Business School,33,Other university,Approx. 6 hours to complete,"Subtitles: French, Portuguese (Brazilian), Korean, Russian, English, Spanish","['Market Segmentation', 'Customer Lifetime Value', 'Marketing Analytics', 'Marketing Performance Measurement And Management']",4.6stars,Business,Marketing,,37253
Foundations of strategic business analytics,Who is this course for?,https://www.coursera.org/learn/strategic-business-analytics,ESSEC Business School,33,Other university,Approx. 8 hours to complete,Subtitles: English,"['Data Analysis', 'Business Analytics', 'R Programming', 'Presentation']",4.4stars,Business,Business Essentials,,56058
H√¥tel ‚ÄúDe l'√©toile‚Äù - a hotel in crisis?,"In this case study based exercise, you will apply the knowledge you have gained about distribution, revenue and demand management to a ‚Äòreal‚Äô world case ‚Äì Hotel ‚ÄúDe l'√©toile‚Äù - a prestigious upmarket internationally branded property in Paris that to the outside world seems to be doing well but is in fact unprofitable for its owner.",https://www.coursera.org/learn/hotel-management-project,ESSEC Business School,33,Other university,Approx. 5 hours to complete,Subtitles: English,,4.6stars,Business,Business Strategy,,2277
International and Cross-Cultural Negotiation,"All of us are aware that cultural differences are significant and that they affect how we interact with others in business and in leisure activities. But what is culture exactly, and how does it impact on negotiation, in particular?",https://www.coursera.org/learn/international-negotiation,ESSEC Business School,33,Other university,Approx. 12 hours to complete,"Subtitles: Arabic, French, Portuguese (Brazilian), Russian, English, Spanish",,4.7stars,Business,Leadership and Management,Intermediate Level,14215
Mediation and Conflict Resolution,"Mediation is a crucial means to reaching peaceful and agreed solutions in today‚Äôs world ‚Äì on an international, political, industrial, peace-keeping or social level.",https://www.coursera.org/learn/conflict-resolution-mediation,ESSEC Business School,33,Other university,Approx. 13 hours to complete,"Subtitles: English, German",,4.7stars,Business,Leadership and Management,Intermediate Level,14890
Negotiation  Fundamentals,"This course gives you access to negotiation practical tools and best practices gathered by Professor Aur√©lien Colson & his team from assignments in more than seventy countries and in a wide set of sectors, be they services, industry, high tech, or public organizations.",https://www.coursera.org/learn/negotiation-fundamentals,ESSEC Business School,33,Other university,Approx. 8 hours to complete,"Subtitles: French, Portuguese (Brazilian), German, Russian, English, Spanish",,,Business,Leadership and Management,Beginner Level,41897
"Negotiation, Mediation, and Conflict Resolution - Capstone Project","This course has been designed to help you apply knowledge, skills, and know-how you have developed in negotiation and in mediation, both as a result of your own practice and the follow up of the previous Courses of the ESSEC ‚ÄúNegotiation, Mediation, and Conflict Resolution‚Äù specialization.",https://www.coursera.org/learn/negotiation-project,ESSEC Business School,33,Other university,Approx. 9 hours to complete,"Subtitles: English, German",,,Business,Leadership and Management,Intermediate Level,10214
The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,"With a fixed capacity, a highly disposable product and high fixed costs, hotels are a natural candidate for the application of revenue management. Originally developed by the airlines in the 1970s, these analytics-based techniques help predict consumer behavior at the hotel‚Äôs market level so that the hotel can sell each room each night at the optimum price.",https://www.coursera.org/learn/fundamentals-of-revenue-management,ESSEC Business School,33,Other university,Approx. 11 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish","['Pricing', 'Revenue Management', 'Forecasting', 'Segmentation Analysis']",4.6stars,Business,Business Strategy,,20332
Exploring Light: Hands-on Activities and Strategies for Teachers,"This is an Exploratorium teacher professional development course taught by Teacher Institute staff, open to any science teacher (particularly middle or high school level) and science enthusiast. This is a hands-on workshop that explores topics and strategies teachers can use to help their students become active investigators of light.",https://www.coursera.org/learn/teach-light-color,Exploratorium,1500,Company,Approx. 5 hours to complete,Subtitles: English,,4.8stars,Physical Science and Engineering,Physics and Astronomy,Intermediate Level,8505
Tinkering Fundamentals: Circuits,"The Tinkering Fundamentals course will offer educators and enthusiasts an opportunity to develop a practice of tinkering and making.  We see tinkering as a serious endeavor‚Äîone that is generalizable across content and especially good at interweaving disciplines in a way that leads to complex projects and individualized learning opportunities. Tinkering has recently been introduced into the educational field as a potential driver of creativity, excitement, and innovation in science learning. It is seen by many as an effective means to engage in exploring STEM concepts, practices and phenomena. Tinkering typically blends the high and low tech tools of science along with a strong aesthetic dimension that supports children‚Äôs (and adults) self expression.",https://www.coursera.org/learn/tinkering-circuits,Exploratorium,1500,Company,Approx. 6 hours to complete,Subtitles: English,,4.7stars,Personal Development,Personal Development,Beginner Level,7774
Tinkering Fundamentals: Motion and Mechanisms,"The Tinkering Fundamentals course will offer educators and enthusiasts an opportunity to develop a practice of tinkering and making.  We see tinkering as a serious endeavor‚Äîone that is generalizable across content and especially good at interweaving disciplines in a way that leads to complex projects and individualized learning opportunities. Tinkering has recently been introduced into the educational field as a potential driver of creativity, excitement, and innovation in science learning. It is seen by many as an effective means to engage in exploring STEM concepts, practices and phenomena. Tinkering typically blends the high and low tech tools of science along with a strong aesthetic dimension that supports children‚Äôs (and adults‚Äô) self expression.",https://www.coursera.org/learn/tinkering-motion-mechanisms,Exploratorium,1500,Company,Approx. 6 hours to complete,Subtitles: English,,,Personal Development,Personal Development,Beginner Level,5223
Advertising with Facebook,"This course will establish you as an expert in Facebook Ads Manager. Learn how to structure campaigns in Ads Manager by selecting ad objectives, target audience, budget, and placement that fit your unique goals. Learn to create and manage ads across Facebook and Instagram and evaluate and optimize the results of your Ads Manager campaigns.  You will end the course by creating an actual ad campaign in Facebook Ads Manager to expand not only your knowledge, but your social media marketing portfolio.",https://www.coursera.org/learn/advertising-with-facebook,Facebook,86,Company,Approx. 9 hours to complete,Subtitles: English,"['Social Media Marketing', 'Ads Manager', 'Facebook Advertising']",,Business,Marketing,Beginner Level,24486
Fundamentals of Social Media Advertising,"This course takes a deep dive into paid advertising on social media. Learn how to start advertising on platforms like Facebook and Instagram by developing effective ads. Learn how to work with design teams by capturing the essence of your ad campaign in a creative brief, and understand how privacy policies may affect your ads. Complete the course with a project where you will produce a creative brief with assets you would deliver to a design team for your ad campaign. You‚Äôll also create your first social media ad.",https://www.coursera.org/learn/social-media-advertising-fundamentals,Facebook,86,Company,Approx. 9 hours to complete,Subtitles: English,"['Social Media Marketing', 'Brand Management', 'Campaign Management', 'Ad Management']",,Business,Marketing,Beginner Level,29389
Introduction to Social Media Marketing,"This course lays the foundation of social media marketing. You‚Äôll learn what social media marketing entails, including the history and the different social media channels that exist. You‚Äôll learn how to select a social media channel that fits your needs, set goals and success metrics, and determine who your target audience is.",https://www.coursera.org/learn/social-media-marketing-introduction,Facebook,86,Company,Approx. 13 hours to complete,Subtitles: English,"['Social Media Marketing', 'Marketing', 'Digital Marketing', 'Social Media Marketing Strategy']",,Business,Marketing,Beginner Level,142285
Measure and Optimize Social Media Marketing Campaigns,"This course provides you with the skills to optimize your social media marketing efforts. Learn to evaluate and interpret the results of your advertising campaigns. Learn how to assess advertising effectiveness through lift studies and optimize your campaigns with split testing. Understand how advertising effectiveness is measured across platforms and devices, learn how to evaluate the ROI of your marketing, and master how to communicate your social media marketing results to others in the company.",https://www.coursera.org/learn/measure-and-optimize-social-media-marketing-campaigns,Facebook,86,Company,Approx. 2 hours to complete,Subtitles: English,"['Marketing Optimization', 'Digital Marketing', 'Digital Analytics', 'Marketing Strategy', 'Communication']",,Business,Marketing,Beginner Level,14314
Social Media Management,"This course equips you with critical content creation and management skills. You‚Äôll learn how to create effective social media posts and how to create a strong brand to help you build a social media presence. You‚Äôll also learn how to establish an ongoing process to manage your content. This includes setting up a content calendar, managing and moderating your posts, analyzing data for insights and iteration, and how to increase post effectiveness. You will end the course with real-world application of your skills through a content management project.",https://www.coursera.org/learn/social-media-management,Facebook,86,Company,Approx. 10 hours to complete,Subtitles: English,"['Content Development', 'content management', 'Social Media Marketing', 'Content Marketing', 'Marketing Content Development']",4.9stars,Business,Marketing,Beginner Level,54789
Budgeting essentials and development,"The Budgeting Essentials and Development course focus on an integrative and practical view of concepts, methods, and techniques to develop a budget.",https://www.coursera.org/learn/budgeting-essentials-development,Fundação Instituto de Administração,1500,Other university,Approx. 26 hours to complete,"Subtitles: English, Arabic",,4.6stars,Business,Business Strategy,Intermediate Level,10885
Effective Sales ‚Äì An Overview,Welcome to Strategic Sales Management specialization.,https://www.coursera.org/learn/effective-sales-overview,Fundação Instituto de Administração,1500,Other university,Approx. 21 hours to complete,"Subtitles: French, Portuguese (Brazilian), Vietnamese, Russian, English, Spanish",,4.6stars,Business,Business Strategy,Intermediate Level,12311
Models & Frameworks to Support Sales Planning,"Welcome to Course 3 - Models & Frameworks to Support Sales Planning ‚Äì In this course, you‚Äôll go through a conceptual approach to selling models and frameworks.",https://www.coursera.org/learn/models-frameworks-support-sales-planning,Fundação Instituto de Administração,1500,Other university,Approx. 22 hours to complete,Subtitles: English,,4.5stars,Business,Business Strategy,Intermediate Level,4159
